Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4bz7uB4edifWKJXSDxwHcs,"Galvanize","Push The Button","The Chemical Brothers",2005-01-01,393813,66,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,4
spotify:track:7kXmJwrZGIhDaLT9sNo3ut,"Hey Boy Hey Girl","Surrender","The Chemical Brothers",1999-01-01,290493,67,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,4
spotify:track:64a1piCzWrwJb4Mrb9VvY4,"Swoon - Radio Edit","Swoon","The Chemical Brothers",2010-01-01,186472,0,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Parlophone",0.505,0.705,2,-4.967,0,0.0332,0.000313,0.667,0.0607,0.293,123.985,4
spotify:track:5A9Oxz9UbR950jjk9XxjAF,"The Salmon Dance","The Salmon Dance","The Chemical Brothers",2007-01-01,222320,0,true,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.863,0.732,0,-6.902,1,0.0419,0.0435,0.0000503,0.123,0.721,124.008,4
spotify:track:2wPFy7SAFnt9Nj2TipWcqb,"Block Rockin' Beats","Brotherhood (Deluxe)","The Chemical Brothers",2008-01-01,294026,2,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.606,0.977,1,-3.642,1,0.06,0.0206,0.5,0.179,0.809,109.41,4
spotify:track:6wW4ES7Gx0zEKdbgcTL1hO,"Galvanize - Edit","Brotherhood (Deluxe)","The Chemical Brothers",2008-01-01,268800,0,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.765,0.674,7,-4.165,1,0.086,0.0279,0.0136,0.0951,0.354,104.008,4
spotify:track:7HcaeoWdfMEo86r8Cm7Gz4,"Do It Again - Edit","Brotherhood (Deluxe)","The Chemical Brothers",2008-01-01,220413,0,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.907,0.612,4,-6.343,1,0.0717,0.0935,0.565,0.0749,0.569,123.978,4
spotify:track:19mC6xktT1JyyycK6cQaXA,"Star Guitar","Come With Us","The Chemical Brothers",2002-01-01,387173,54,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.492,0.956,5,-4.186,1,0.0472,0.00892,0.872,0.288,0.36,126.968,4
spotify:track:2efUDwEqXNmEyEX019hMSi,"The Salmon Dance - Crookers 'Wow' Mix","The Salmon Dance","The Chemical Brothers",2007-01-01,316906,0,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.794,0.73,11,-4.58,1,0.0538,0.0548,0.0329,0.0703,0.353,130.044,4
spotify:track:5XIdG3U7eQozVo6cRZFLxD,"Do It Again","We Are The Night","The Chemical Brothers",2007,332973,0,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.867,0.714,4,-5.144,1,0.0662,0.0224,0.704,0.104,0.623,123.974,4
spotify:track:7MWg3kJhV6hHfEIL1WFSOP,"Believe","Brotherhood (Deluxe)","The Chemical Brothers",2008-01-01,366773,0,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.699,0.582,7,-5.21,1,0.0516,0.000822,0.0625,0.0867,0.594,131.982,4
spotify:track:7Ms07pLdSkZtyeSr6GYhK2,"Saturate","Brotherhood (Deluxe)","The Chemical Brothers",2008-01-01,290800,0,false,,2010-05-31T09:21:19Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.825,0.551,10,-4.818,0,0.0685,0.0687,0.903,0.0953,0.318,133.99,4
